No.,Time,Source,Destination,Protocol,Length,Source Port,Destination Port,TCP Flags,Sequence Number,Acknowledgment Number,Window Size,Payload Length,TSval,TSecr,Weight
9103,0.360704,172.28.164.50,139.74.35.71,TCP,74,34429.0,80.0,SYN,0.0,,5840.0,0.0,6561449.0,0.0,5
9161,0.361169,139.74.35.71,172.28.164.50,TCP,74,,,,0.0,1.0,5792.0,0.0,25591767.0,6561449.0,5
9169,0.361273,172.28.164.50,139.74.35.71,HTTP,93,,,,,,,,,,5
9177,0.361681,139.74.35.71,172.28.164.50,HTTP,591,,,,,,,,,,5
10031,0.441247,172.28.124.80,150.92.104.142,TCP,74,39632.0,80.0,SYN,0.0,,5840.0,0.0,6561457.0,0.0,9
10032,0.441451,150.92.104.142,172.28.124.80,TCP,74,,,,0.0,1.0,5792.0,0.0,25591775.0,6561457.0,9
10034,0.441516,172.28.124.80,150.92.104.142,HTTP,95,,,,,,,,,,9
10043,0.442491,150.92.104.142,172.28.124.80,HTTP,446,,,,,,,,,,9
10050,0.446149,110.97.234.115,172.28.187.13,TCP,74,,,,0.0,1.0,5792.0,0.0,25591776.0,6561457.0,8
10062,0.450106,110.97.234.115,172.28.187.13,HTTP,1459,,,,,,,,,,8
11296,0.527894,172.28.73.245,154.29.138.43,TCP,74,33782.0,80.0,SYN,0.0,,5840.0,0.0,6561465.0,0.0,5
11299,0.52816,172.28.73.245,154.29.138.43,HTTP,94,,,,,,,,,,5
11882,0.578311,172.28.173.181,149.12.250.71,TCP,74,59881.0,80.0,SYN,0.0,,5840.0,0.0,6561470.0,0.0,8
11885,0.578575,172.28.173.181,149.12.250.71,HTTP,95,,,,,,,,,,8
13621,0.640099,172.28.50.215,114.30.18.57,TCP,74,47599.0,80.0,SYN,0.0,,5840.0,0.0,6561477.0,0.0,10
13636,0.640358,172.28.50.215,114.30.18.57,HTTP,94,,,,,,,,,,10
13738,0.645144,54.181.190.85,172.28.64.180,TCP,74,,,,0.0,1.0,5792.0,0.0,25591795.0,6561477.0,9
13749,0.64618,54.181.190.85,172.28.64.180,HTTP,466,,,,,,,,,,9
14991,0.71399,172.28.225.171,221.14.241.181,TCP,74,52193.0,80.0,SYN,0.0,,5840.0,0.0,6561484.0,0.0,5
14994,0.714255,172.28.225.171,221.14.241.181,HTTP,94,,,,,,,,,,5
15001,0.719173,172.28.83.131,112.150.23.20,TCP,74,37152.0,80.0,SYN,0.0,,5840.0,0.0,6561484.0,0.0,8
15002,0.719371,112.150.23.20,172.28.83.131,TCP,74,,,,0.0,1.0,5792.0,0.0,25591803.0,6561484.0,8
15005,0.71944,172.28.83.131,112.150.23.20,HTTP,94,,,,,,,,,,8
15014,0.720387,112.150.23.20,172.28.83.131,HTTP,567,,,,,,,,,,8
15212,0.743401,172.28.206.226,58.231.224.128,TCP,74,43093.0,80.0,SYN,0.0,,5840.0,0.0,6561487.0,0.0,9
15213,0.743599,58.231.224.128,172.28.206.226,TCP,74,,,,0.0,1.0,5792.0,0.0,25591805.0,6561487.0,9
15215,0.743665,172.28.206.226,58.231.224.128,HTTP,94,,,,,,,,,,9
15224,0.74465,58.231.224.128,172.28.206.226,HTTP,1374,,,,,,,,,,9
